PROJECT_NAME,PROJECT_VERSION,TOTAL_DUAS,JAGUAR_COVERED_DUAS,BADUA_COVERED_DUAS,DUA_COVERAGE_DIFFERENCE,SAME_COVERAGE
Cli,33f,1784,1633,1633,0,True
Cli,9f,1336,1036,1036,0,True
Cli,31f,1803,1644,1644,0,True
Cli,1f,1337,1027,1027,0,True
Cli,5f,1352,1042,1042,0,True
Cli,16b,2797,2513,2513,0,True
Cli,34f,1794,1646,1646,0,True
Cli,14f,2765,2493,2493,0,True
Cli,7f,2738,2467,2467,0,True
Cli,34b,1779,1630,1630,0,True
Cli,32f,1769,1621,1621,0,True
Cli,2b,1337,1027,1027,0,True
Cli,22f,1255,1117,1117,0,True
Cli,22b,1228,1091,1091,0,True
Cli,23f,1266,1136,1136,0,True
Cli,8b,1351,1051,1051,0,True
Cli,25b,1274,1144,1144,0,True
Cli,36b,1798,1657,1657,0,True
Cli,33b,1769,1621,1621,0,True
Cli,36f,1798,1657,1657,0,True
Cli,40b,1870,1745,1745,0,True
Cli,39f,1830,1708,1708,0,True
Cli,39b,1830,1711,1711,0,True
Cli,14b,2765,2494,2494,0,True
Cli,8f,1350,1050,1050,0,True
Cli,4f,1350,1040,1040,0,True
Cli,13f,2743,2472,2472,0,True
Cli,21f,2847,2556,2556,0,True
Cli,16f,2817,2534,2534,0,True
Cli,20f,1271,1115,1115,0,True
Cli,10f,1343,1040,1040,0,True
Cli,37b,1798,1663,1663,0,True
Cli,35b,1789,1648,1648,0,True
Cli,12b,1225,1045,1045,0,True
Cli,20b,1260,1104,1104,0,True
Cli,29b,1770,1608,1608,0,True
Cli,11b,1236,1043,1043,0,True
Cli,27b,1319,1194,1194,0,True
Cli,19b,1263,1107,1107,0,True
Cli,7b,2738,2467,2467,0,True
Cli,3f,1349,1034,1034,0,True
Cli,28b,1731,1566,1566,0,True
Cli,2f,1337,1027,1027,0,True
Cli,15f,2791,2510,2510,0,True
Cli,30b,1771,1612,1612,0,True
Cli,18f,1263,1106,1106,0,True
Cli,3b,1343,1022,1022,0,True
Cli,31b,1799,1638,1638,0,True
Cli,18b,1259,1102,1102,0,True
Cli,38f,1811,1674,1674,0,True
Cli,35f,1798,1657,1657,0,True
Cli,19f,1260,1104,1104,0,True
Cli,38b,1799,1663,1663,0,True
Cli,27f,1319,1194,1194,0,True
Cli,23b,1262,1132,1132,0,True
Cli,11f,1236,1043,1043,0,True
Cli,26f,1273,1151,1151,0,True
Cli,4b,1344,1034,1034,0,True
Cli,17b,1260,1098,1098,0,True
Cli,24f,1274,1144,1144,0,True
Cli,26b,1273,1151,1151,0,True
Cli,25f,1273,1142,1142,0,True
Cli,10b,1343,1040,1040,0,True
Cli,13b,2738,2460,2460,0,True
Cli,37f,1799,1663,1663,0,True
Cli,30f,1794,1635,1635,0,True
Cli,12f,1235,1055,1055,0,True
Cli,32b,1793,1634,1634,0,True
Cli,29f,1769,1609,1609,0,True
Cli,17f,1260,1098,1098,0,True
Cli,1b,1356,1040,1040,0,True
Cli,24b,1270,1140,1140,0,True
Cli,21b,2823,2540,2540,0,True
Cli,5b,1350,1040,1040,0,True
Cli,9b,1335,1035,1035,0,True
Cli,15b,2764,2492,2492,0,True
Cli,40f,1871,1746,1746,0,True
Cli,28f,1731,1566,1566,0,True
Csv,9f,1630,1377,1377,0,True
Csv,1f,1015,828,828,0,True
Csv,5f,1558,1316,1316,0,True
Csv,16b,1876,1606,1608,2,False
Csv,14f,1842,1525,1527,2,False
Csv,7f,1581,1334,1334,0,True
Csv,2b,1353,1133,1133,0,True
Csv,8b,1621,1368,1368,0,True
Csv,6b,1558,1317,1317,0,True
Csv,14b,1842,1525,1527,2,False
Csv,8f,1623,1370,1370,0,True
Csv,4f,1545,1303,1303,0,True
Csv,13f,1760,1484,1484,0,True
Csv,16f,1876,1606,1608,2,False
Csv,10f,1634,1381,1381,0,True
Csv,12b,1649,1399,1399,0,True
Csv,11b,1660,1410,1410,0,True
Csv,7b,1566,1325,1325,0,True
Csv,3f,1393,1165,1165,0,True
Csv,2f,1353,1133,1133,0,True
Csv,15f,1876,1606,1608,2,False
Csv,3b,1377,1145,1145,0,True
Csv,6f,1566,1325,1325,0,True
Csv,11f,1664,1414,1414,0,True
Csv,4b,1539,1297,1297,0,True
Csv,10b,1630,1377,1377,0,True
Csv,13b,1755,1479,1479,0,True
Csv,12f,1649,1399,1399,0,True
Csv,1b,1009,822,822,0,True
Csv,5b,1552,1310,1310,0,True
Csv,9b,1623,1370,1370,0,True
Csv,15b,1894,1622,1624,2,False
Jsoup,80f,10728,8259,8275,16,False
Jsoup,89f,10761,8304,8322,18,False
Jsoup,67f,10474,7858,7874,16,False
Jsoup,74f,10574,8063,8079,16,False
Jsoup,33f,8138,5848,5850,2,False
Jsoup,53b,9396,6850,6852,2,False
Jsoup,45f,9335,6845,6847,2,False
Jsoup,9f,2920,2525,2527,2,False
Jsoup,31f,7724,5444,5446,2,False
Jsoup,64f,10082,7363,7380,17,False
Jsoup,1f,1942,1632,1633,1,False
Jsoup,46f,9334,6853,6855,2,False
Jsoup,5f,2733,2323,2324,1,False
Jsoup,16b,7158,4837,4840,3,False
Jsoup,34f,8144,5858,5860,2,False
Jsoup,49f,9467,6939,6941,2,False
Jsoup,65f,10265,7488,7504,16,False
Jsoup,14f,7071,4759,4762,3,False
Jsoup,7f,2918,2520,2522,2,False
Jsoup,83f,10738,8284,8300,16,False
Jsoup,55f,9601,7041,7043,2,False
Jsoup,73b,10560,7995,8011,16,False
Jsoup,54b,9428,6882,6884,2,False
Jsoup,78b,10734,8253,8269,16,False
Jsoup,34b,8138,5848,5850,2,False
Jsoup,32f,7774,5478,5480,2,False
Jsoup,92b,10821,8363,8381,18,False
Jsoup,48f,9430,6912,6914,2,False
Jsoup,61b,9910,7230,7232,2,False
Jsoup,79f,10734,8253,8269,16,False
Jsoup,52f,9396,6843,6845,2,False
Jsoup,74b,10562,8052,8068,16,False
Jsoup,2b,1942,1632,1633,1,False
Jsoup,22f,7401,5093,5096,3,False
Jsoup,22b,7349,5047,5050,3,False
Jsoup,51b,9419,6875,6877,2,False
Jsoup,93f,10909,8456,8474,18,False
Jsoup,23f,7439,5126,5129,3,False
Jsoup,8b,2918,2522,2524,2,False
Jsoup,25b,7493,5192,5195,3,False
Jsoup,36b,8213,5901,5903,2,False
Jsoup,46b,9335,6854,6856,2,False
Jsoup,33b,8135,5845,5847,2,False
Jsoup,85b,10745,8288,8306,18,False
Jsoup,76f,10704,8224,8240,16,False
Jsoup,36f,8227,5902,5904,2,False
Jsoup,42b,9162,6650,6652,2,False
Jsoup,84b,10738,8284,8300,16,False
Jsoup,86b,10745,8289,8307,18,False
Jsoup,6b,2896,2495,2497,2,False
Jsoup,91f,10809,8353,8371,18,False
Jsoup,66b,10425,7597,7613,16,False
Jsoup,85f,10745,8288,8306,18,False
Jsoup,40b,8331,6008,6010,2,False
Jsoup,39f,8313,5986,5988,2,False
Jsoup,39b,8310,5985,5987,2,False
Jsoup,14b,7059,4739,4742,3,False
Jsoup,82f,10728,8274,8290,16,False
Jsoup,68f,10517,7986,8002,16,False
Jsoup,89b,10757,8298,8316,18,False
Jsoup,59b,9886,7204,7206,2,False
Jsoup,76b,10702,8222,8238,16,False
Jsoup,8f,2920,2525,2527,2,False
Jsoup,62f,9962,7279,7281,2,False
Jsoup,72b,10559,8041,8057,16,False
Jsoup,4f,2725,2319,2320,1,False
Jsoup,13f,6815,4701,4704,3,False
Jsoup,90f,10783,8324,8342,18,False
Jsoup,21f,7318,5029,5032,3,False
Jsoup,16f,7158,4837,4840,3,False
Jsoup,87b,10745,8290,8308,18,False
Jsoup,20f,7323,5030,5033,3,False
Jsoup,45b,9335,6852,6854,2,False
Jsoup,10f,2958,2563,2565,2,False
Jsoup,49b,9467,6939,6941,2,False
Jsoup,37b,8223,5899,5901,2,False
Jsoup,51f,9421,6877,6879,2,False
Jsoup,35b,8144,5858,5860,2,False
Jsoup,68b,10523,7988,8004,16,False
Jsoup,12b,3122,2702,2704,2,False
Jsoup,87f,10745,8289,8307,18,False
Jsoup,67b,10470,7854,7870,16,False
Jsoup,60b,9877,7204,7206,2,False
Jsoup,70f,10546,8023,8039,16,False
Jsoup,79b,10734,8253,8269,16,False
Jsoup,20b,7313,5025,5028,3,False
Jsoup,57f,9763,7122,7124,2,False
Jsoup,29b,7690,5416,5418,2,False
Jsoup,44b,9265,6783,6785,2,False
Jsoup,11b,2958,2569,2571,2,False
Jsoup,92f,10907,8454,8472,18,False
Jsoup,27b,7710,5418,5421,3,False
Jsoup,75f,10689,8209,8225,16,False
Jsoup,88b,10757,8297,8315,18,False
Jsoup,19b,7175,4878,4881,3,False
Jsoup,73f,10562,7997,8013,16,False
Jsoup,53f,9412,6854,6856,2,False
Jsoup,7b,2883,2489,2491,2,False
