PROJECT_NAME,PROJECT_VERSION,SAME_FAILING_TESTS,JAGUAR_CONTAINS_DEFECTS4J,SAME_COVERAGE,DUA_COVERAGE_DIFFERENCE
Chart, 10b, True, True, True, 0
Chart, 11b, True, True, True, 0
Chart, 12b, True, True, True, 0
Chart, 13b, True, True, True, 0
Chart, 14b, True, True, True, 0
Chart, 15b, True, True, True, 0
Chart, 16b, True, True, True, 0
Chart, 17b, True, True, True, 0
Chart, 18b, True, True, True, 0
Chart, 19b, True, True, True, 0
Chart, 1b, True, True, True, 0
Chart, 20b, True, True, True, 0
Chart, 21b, True, True, True, 0
Chart, 22b, True, True, True, 0
Chart, 23b, True, True, True, 0
Chart, 24b, True, True, True, 0
Chart, 25b, True, True, True, 0
Chart, 26b, True, True, True, 0
Chart, 2b, True, True, True, 0
Chart, 3b, True, True, True, 0
Chart, 4b, True, True, True, 0
Chart, 5b, True, True, True, 0
Chart, 6b, True, True, True, 0
Chart, 7b, True, True, True, 0
Chart, 8b, False, False, True, 0
Chart, 9b, True, True, True, 0
Cli, 10b, True, True, True, 0
Cli, 11b, True, True, True, 0
Cli, 12b, True, True, True, 0
Cli, 13b, False, True, True, 0
Cli, 14b, False, True, True, 0
Cli, 15b, False, True, True, 0
Cli, 16b, False, True, True, 0
Cli, 17b, True, True, True, 0
Cli, 18b, True, True, True, 0
Cli, 19b, True, True, True, 0
Cli, 1b, True, True, True, 0
Cli, 20b, True, True, True, 0
Cli, 21b, False, True, True, 0
Cli, 22b, True, True, True, 0
Cli, 23b, True, True, True, 0
Cli, 24b, True, True, True, 0
Cli, 25b, True, True, True, 0
Cli, 26b, True, True, True, 0
Cli, 27b, True, True, True, 0
Cli, 28b, True, True, True, 0
Cli, 29b, True, True, True, 0
Cli, 2b, True, True, True, 0
Cli, 30b, True, True, True, 0
Cli, 31b, True, True, True, 0
Cli, 32b, True, True, True, 0
Cli, 33b, True, True, True, 0
Cli, 34b, True, True, True, 0
Cli, 35b, True, True, True, 0
Cli, 36b, True, True, True, 0
Cli, 37b, True, True, True, 0
Cli, 38b, True, True, True, 0
Cli, 39b, True, True, True, 0
Cli, 3b, True, True, True, 0
Cli, 40b, False, True, True, 0
Cli, 4b, True, True, True, 0
Cli, 5b, True, True, True, 0
Cli, 7b, False, True, True, 0
Cli, 8b, True, True, True, 0
Cli, 9b, True, True, True, 0
Closure, 100b, True, True, False, 6
Closure, 101b, True, True, False, 6
Closure, 102b, True, True, False, 6
Closure, 103b, True, True, False, 6
Closure, 104b, False, True, False, 6
Closure, 105b, True, True, False, 6
Closure, 106b, True, True, False, 6
Closure, 107b, True, True, False, 8
Closure, 108b, True, True, False, 8
Closure, 109b, True, True, False, 8
Closure, 10b, True, True, False, 8
Closure, 110b, True, True, False, 8
Closure, 111b, True, True, False, 8
Closure, 112b, True, True, False, 8
Closure, 113b, True, True, False, 8
Closure, 114b, True, True, False, 8
Closure, 115b, True, True, False, 8
Closure, 116b, True, True, False, 8
Closure, 117b, True, True, False, 8
Closure, 118b, True, True, False, 8
Closure, 119b, True, True, False, 8
Closure, 11b, True, True, False, 8
Closure, 120b, True, True, False, 8
Closure, 121b, True, True, False, 8
Closure, 122b, True, True, False, 8
Closure, 123b, True, True, False, 8
Closure, 124b, True, True, False, 8
Closure, 125b, True, True, False, 8
Closure, 126b, True, True, False, 8
Closure, 127b, True, True, False, 8
Closure, 128b, True, True, False, 8
Closure, 129b, True, True, False, 8
Closure, 12b, True, True, False, 8
Closure, 130b, True, True, False, 8
Closure, 13b, True, True, False, 8
Closure, 14b, True, True, False, 7
Closure, 15b, True, True, False, 7
Closure, 16b, True, True, False, 7
Closure, 17b, True, True, False, 7
Closure, 18b, True, True, False, 7
Closure, 19b, True, True, False, 7
Closure, 1b, True, True, False, 8
Closure, 20b, True, True, False, 7
Closure, 21b, True, True, False, 7
Closure, 22b, True, True, False, 7
Closure, 23b, True, True, False, 7
Closure, 24b, True, True, False, 7
Closure, 25b, True, True, False, 7
Closure, 26b, True, True, False, 7
Closure, 27b, True, True, False, 7
Closure, 28b, True, True, False, 7
Closure, 29b, True, True, False, 7
Closure, 2b, True, True, False, 8
Closure, 30b, True, True, False, 7
Closure, 31b, True, True, False, 7
Closure, 32b, True, True, False, 7
Closure, 33b, True, True, False, 7
Closure, 34b, True, True, False, 7
Closure, 35b, True, True, False, 7
Closure, 36b, True, True, False, 7
Closure, 37b, True, True, False, 7
Closure, 38b, True, True, False, 7
Closure, 39b, True, True, False, 7
Closure, 3b, True, True, False, 8
Closure, 40b, True, True, False, 7
Closure, 41b, True, True, False, 7
Closure, 42b, True, True, False, 7
Closure, 43b, True, True, False, 7
Closure, 44b, True, True, False, 7
Closure, 45b, True, True, False, 7
Closure, 46b, True, True, False, 7
Closure, 47b, True, True, False, 7
Closure, 48b, True, True, False, 7
Closure, 49b, True, True, False, 7
Closure, 4b, True, True, False, 8
Closure, 50b, True, True, False, 7
Closure, 51b, True, True, False, 7
Closure, 52b, True, True, False, 7
Closure, 53b, True, True, False, 7
Closure, 54b, True, True, False, 7
Closure, 55b, True, True, False, 6
Closure, 56b, True, True, False, 6
Closure, 57b, True, True, False, 6
Closure, 58b, True, True, False, 6
Closure, 59b, True, True, False, 6
Closure, 5b, True, True, False, 8
Closure, 60b, True, True, False, 6
Closure, 61b, True, True, False, 6
Closure, 62b, True, True, False, 6
Closure, 64b, True, True, False, 6
Closure, 65b, True, True, False, 6
Closure, 66b, True, True, False, 6
Closure, 67b, True, True, False, 6
Closure, 68b, True, True, False, 6
Closure, 69b, True, True, False, 6
Closure, 6b, True, True, False, 8
Closure, 70b, True, True, False, 6
Closure, 71b, True, True, False, 6
Closure, 72b, True, True, False, 6
Closure, 73b, True, True, False, 6
Closure, 74b, True, True, False, 6
Closure, 75b, True, True, False, 6
Closure, 76b, True, True, False, 6
Closure, 77b, True, True, False, 6
Closure, 78b, True, True, False, 6
Closure, 79b, True, True, False, 6
Closure, 7b, True, True, False, 8
Closure, 80b, True, True, False, 6
Closure, 81b, True, True, False, 6
Closure, 82b, True, True, False, 6
Closure, 83b, True, True, False, 6
Closure, 84b, True, True, False, 6
Closure, 85b, True, True, False, 6
Closure, 86b, True, True, False, 6
Closure, 87b, True, True, False, 6
Closure, 88b, True, True, False, 6
Closure, 89b, True, True, False, 6
Closure, 8b, True, True, False, 8
Closure, 90b, True, True, False, 6
Closure, 91b, True, True, False, 6
Closure, 92b, True, True, False, 6
Closure, 94b, True, True, False, 6
Closure, 95b, True, True, False, 6
Closure, 96b, True, True, False, 6
Closure, 97b, True, True, False, 6
Closure, 98b, True, True, False, 6
Closure, 99b, True, True, False, 6
Closure, 9b, True, True, False, 8
Codec, 10b, True, True, True, 0
Codec, 11b, True, True, True, 0
Codec, 12b, True, True, True, 0
Codec, 13b, True, True, True, 0
Codec, 14b, True, True, True, 0
Codec, 15b, True, True, True, 0
Codec, 16b, True, True, True, 0
Codec, 17b, True, True, True, 0
Codec, 18b, True, True, True, 0
Codec, 1b, True, True, True, 0
Codec, 2b, True, True, True, 0
Codec, 3b, True, True, True, 0
Codec, 4b, True, True, True, 0
Codec, 5b, True, True, True, 0
Codec, 6b, True, True, True, 0
Codec, 7b, True, True, True, 0
Codec, 8b, True, True, True, 0
Codec, 9b, True, True, True, 0
Collections, 25b, False, True, False, 577
Collections, 26b, False, True, False, 596
Collections, 27b, False, True, False, 596
Collections, 28b, False, True, False, 613
Compress, 10b, False, True, False, 2
Compress, 11b, False, True, False, 2
Compress, 12b, False, True, False, 2
Compress, 13b, False, True, False, 2
Compress, 14b, False, True, False, 2
Compress, 15b, False, True, False, 2
Compress, 16b, False, True, False, 2
Compress, 17b, False, True, False, 3
Compress, 18b, False, True, False, 3
Compress, 19b, False, True, False, 5
Compress, 1b, False, True, True, 0
Compress, 20b, False, True, False, 5
Compress, 21b, False, True, False, 5
Compress, 22b, False, True, False, 4
Compress, 23b, False, True, False, 4
Compress, 24b, False, True, False, 4
Compress, 25b, False, True, False, 4
Compress, 26b, False, True, False, 4
Compress, 27b, False, True, False, 4
Compress, 28b, False, True, False, 4
Compress, 29b, False, True, False, 4
Compress, 2b, False, True, True, 0
Compress, 30b, False, True, False, 4
Compress, 31b, False, True, False, 4
Compress, 32b, False, True, False, 4
Compress, 33b, False, True, False, 4
Compress, 34b, False, True, False, 4
Compress, 35b, False, True, False, 4
Compress, 36b, False, True, False, 4
Compress, 37b, False, True, False, 4
Compress, 38b, False, True, False, 4
Compress, 39b, False, True, False, 4
Compress, 3b, False, True, True, 0
Compress, 40b, False, True, False, 20
Compress, 41b, False, True, False, 29
Compress, 42b, False, True, False, 30
Compress, 43b, False, True, False, 30
Compress, 44b, False, True, False, 30
Compress, 45b, False, True, False, 30
Compress, 46b, False, True, False, 56
Compress, 47b, False, True, False, 57
Compress, 4b, False, True, True, 0
Compress, 5b, False, True, True, 0
Compress, 6b, False, True, True, 0
Compress, 7b, False, True, True, 0
Compress, 8b, False, True, True, 0
Compress, 9b, False, True, False, 1
Csv, 10b, False, True, True, 0
Csv, 11b, False, True, True, 0
Csv, 12b, False, True, True, 0
Csv, 13b, True, True, True, 0
Csv, 14b, True, True, False, 2
